#Treat,#Move
5,3
6,2
4,4
2,6
4,4
4,4
5,3
6,2
3,5
3,5
4,4
3,5
2,6
2,6
3,5
5,3
6,2
1,7
4,4
3,5
3,5
3,5
5,3
5,3
4,4
4,4
5,3
4,4
3,5
4,4
3,5
2,6
4,4
4,4
5,3
5,3
4,4
7,1
4,4
4,4
7,1
6,2
4,4
6,2
3,5
5,3
6,2
7,1
4,4
3,5
5,3
4,4
5,3
5,3
5,3
6,2
6,2
4,4
6,2
6,2
========
Total Treat: 260 (0.5416666666666666%)
Total Move: 220 (0.4583333333333333%)
